Sector,Price,Built Up Area,Bedroom,Bathroom,Balcony,Others,Pooja Room,Servant Room,Store Room,Study Room,Floor Num,Total Floor,Facing_North,Facing_North-East,Facing_North-West,Facing_South,Facing_South-East,Facing_South-West,Facing_Unknown,Facing_West,Property Age,Overlooking_Club,Overlooking_Lake facing,Overlooking_Main Road,Overlooking_Others,Overlooking_Park,Overlooking_Pool,NearbyPlace_Business,NearbyPlace_Education,NearbyPlace_Financial,NearbyPlace_Healthcare,NearbyPlace_Leisure,NearbyPlace_Religious,NearbyPlace_Residentail,NearbyPlace_Shopping,NearbyPlace_Transport,Property Ownership,Furnishing,Power Backup,Covered_Parking,Open_Parking,Total Parking,Rating,Sector_encoded
Sector 83,1.08,1026,2,2,3,0,0,0,1,0,9,12,1,0,0,0,0,0,0,0,3,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,2,1,0,1,3.9,1.8
Sector 89,1.35,1119,2,2,2,0,0,0,0,1,1,4,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,2,1,0,1,3.68,1.6
Sector 70,2.4,1806,3,4,4,0,1,1,0,0,10,18,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,2,1,0,1,3.6,2.2
Sector 102,2.55,1798,3,3,3,0,0,1,0,0,20,25,0,1,0,0,0,0,0,0,2,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,2,1,0,1,4.2,2.3
Sector 102,2.38,1545,3,3,2,0,0,0,0,0,11,26,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,3.9,2.3
Sector 102,1.45,836,2,2,2,0,0,0,0,0,2,26,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,3.9,2.3
Sector 84,3,1900,4,4,3,0,0,0,0,1,2,4,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,2,2,1,3,3.62,2.1
Sector 78,1.35,1225,2,2,3,0,0,0,0,1,3,18,0,1,0,0,0,0,0,0,3,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,1,1,2,1,0,1,3.8,1.5
Sector 78,1.65,1530,3,3,2,0,0,0,1,0,10,13,0,0,0,0,0,0,0,1,2,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,2,1,0,1,3.8,1.5
Sector 77,1.85,1340,3,4,3,0,0,1,0,1,3,13,0,1,0,0,0,0,0,0,3,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,2,0,1,1,4.2,2.1
Sector 82,3.8,1814,4,4,4,0,0,1,0,0,17,32,1,0,0,0,0,0,0,0,3,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1,2,1,0,1,4.1,2.3
Sector 77,1.4,1193,2,2,2,0,0,0,1,0,11,18,0,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,2,1,0,1,4,2.1
Sector 77,2,1620,3,3,3,0,0,0,0,0,4,18,0,1,0,0,0,0,0,0,3,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,2,2,1,0,1,4,2.1
Sector 104,1.9,1230,3,2,2,0,0,0,0,0,10,35,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,2,1,1,2,4.2,2.4
Sector 85,1.5,1523,3,4,3,0,0,1,0,0,2,12,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,2,1,0,1,3.8,1.9
Sector 104,2.25,1564,3,3,2,0,1,0,0,1,23,35,0,1,0,0,0,0,0,0,2,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,2,2,1,3,4.22,2.4
Sector 104,3.5,2526,3,3,4,0,1,1,0,1,8,29,0,1,0,0,0,0,0,0,2,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,2,2,1,3,4.2,2.4
Sector 104,2.3,1753,2,2,2,0,1,1,0,1,7,29,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,2,4.2,2.4
Sector 85,2.45,2165,4,4,3,0,1,0,0,0,8,12,0,0,0,0,0,0,0,0,3,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,2,2,1,3,3.92,1.9
Sector 89,1.65,1494,3,3,2,0,0,1,0,0,2,4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,2,0,1,1,3.74,1.6
Sector 85,1.2,999,2,2,2,0,0,0,1,0,4,12,0,0,0,0,0,0,0,0,2,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,2,1,1,2,3.8,1.9
Sector 81,1.8,1383,3,2,2,0,1,0,0,0,10,15,0,0,0,0,0,0,0,0,2,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,2,1,1,2,4.1,2.7
Sector 66,4.31,2231,4,5,3,0,0,1,0,0,1,12,0,0,0,0,0,0,0,1,2,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,2,2,0,2,3.6,3.7
Sector 92,1.18,1096,3,2,3,0,0,0,0,1,2,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,2,1,1,2,3.8,1.8
Sector 77,2.35,1846,3,4,4,0,0,1,0,0,8,18,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,2,1,0,1,4,2.1
Sector 82,3.5,2000,4,4,4,1,0,0,0,0,11,12,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,2,1,1,2,4.1,2.3
Sector 102,2.6,1798,3,3,3,0,0,1,0,0,20,25,0,1,0,0,0,0,0,0,2,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,2,1,0,1,4.2,2.3
Sector 89,1.65,1486,2,3,3,0,0,1,0,0,12,21,0,1,0,0,0,0,0,0,2,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,2,1,0,1,3.84,1.6
Sector 71,1.1,689,1,1,1,0,0,0,0,0,11,12,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,2,1,0,1,3.86,1.6
Sector 111,3.7,1980,3,4,4,0,0,1,0,0,7,21,0,0,0,0,0,0,0,0,2,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,2,2,1,3,3.7,2.8
Sector 106,2.8,1610,3,4,4,0,0,0,0,1,10,34,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,2,1,1,2,3.4,2.3
Sector 89,1.58,1260,3,3,2,0,1,1,1,1,1,4,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,2,1,0,1,3.78,1.6
Sector 69,2.28,1487,3,3,3,0,0,0,0,0,6,26,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,2,1,0,1,3.86,2.4
Sector 69,2.3,1487,3,3,3,0,0,0,0,0,15,26,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,2,1,0,1,4,2.4
Sector 69,2.35,1376,3,3,4,1,1,0,0,1,17,26,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,2,1,0,1,3.8,2.4
Sector 72,2.5,1625,2,2,3,0,0,0,0,1,9,16,1,0,0,0,0,0,0,0,3,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,2,1,0,1,3.8,3.3
Sector 108,1.45,1188,2,2,3,0,1,0,0,0,12,14,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,2,2,1,1,2,4,3.1
Sector 102,1.95,1215,2,2,2,0,1,0,0,0,11,26,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,2,1,1,2,3.9,2.3
