iter	Passed	Remaining
828	11662	2405
829	11675	2391
830	11688	2377
831	11700	2362
832	11713	2348
833	11726	2334
834	11745	2321
835	11758	2306
836	11770	2292
837	11787	2278
838	11802	2264
839	11814	2250
840	11825	2235
841	11836	2221
842	11849	2206
843	11861	2192
844	11873	2177
845	11886	2163
846	11898	2149
847	11910	2134
848	11923	2120
849	11935	2106
850	11952	2092
851	11968	2078
852	11980	2064
853	11993	2050
854	12006	2036
855	12023	2022
856	12037	2008
857	12051	1994
858	12065	1980
859	12077	1966
860	12095	1952
861	12107	1938
862	12119	1923
863	12130	1909
864	12142	1895
865	12154	1880
866	12165	1866
867	12179	1852
868	12190	1837
869	12203	1823
870	12217	1809
871	12229	1795
872	12242	1780
873	12253	1766
874	12264	1752
875	12276	1737
876	12288	1723
877	12300	1709
878	12313	1695
879	12325	1680
880	12337	1666
881	12348	1652
882	12360	1637
883	12371	1623
884	12383	1609
885	12395	1594
886	12406	1580
887	12418	1566
888	12430	1552
889	12443	1537
890	12455	1523
891	12467	1509
892	12485	1496
893	12497	1481
894	12509	1467
895	12520	1453
896	12533	1439
897	12549	1425
898	12563	1411
899	12574	1397
900	12585	1382
901	12597	1368
902	12608	1354
903	12623	1340
904	12637	1326
905	12649	1312
906	12661	1298
907	12674	1284
908	12685	1269
909	12698	1255
910	12710	1241
911	12722	1227
912	12734	1213
913	12745	1199
914	12757	1185
915	12769	1171
916	12781	1156
917	12793	1142
918	12806	1128
919	12818	1114
920	12834	1100
921	12848	1086
922	12861	1072
923	12873	1058
924	12884	1044
925	12895	1030
926	12907	1016
927	12919	1002
928	12936	988
929	12948	974
930	12962	960
931	12974	946
932	12993	933
933	13005	919
934	13017	904
935	13029	890
936	13040	876
937	13052	862
938	13065	848
939	13079	834
940	13098	821
941	13111	807
942	13124	793
943	13135	779
944	13147	765
945	13160	751
946	13172	737
947	13183	723
948	13194	709
949	13206	695
950	13218	681
951	13230	667
952	13242	653
953	13254	639
954	13266	625
955	13284	611
956	13302	597
957	13315	583
958	13326	569
959	13339	555
960	13351	541
961	13368	528
962	13386	514
963	13400	500
964	13419	486
965	13433	472
966	13445	458
967	13457	444
968	13472	431
969	13483	417
970	13496	403
971	13507	389
972	13519	375
973	13537	361
974	13548	347
975	13567	333
976	13580	319
977	13592	305
978	13605	291
979	13617	277
980	13629	263
981	13646	250
982	13661	236
983	13677	222
984	13696	208
985	13715	194
986	13730	180
987	13742	166
988	13754	152
989	13767	139
990	13779	125
991	13791	111
992	13803	97
993	13815	83
994	13827	69
995	13839	55
996	13850	41
997	13861	27
998	13872	13
999	13888	0
