iter	RMSE
233	0.3630178957
234	0.3628525313
235	0.3626071084
236	0.3623121377
237	0.3617122018
238	0.3615303265
239	0.3610655404
240	0.3609390896
241	0.3607936048
242	0.3605875985
243	0.3602417508
244	0.3601585401
245	0.3598408087
246	0.3594102942
247	0.3593091406
248	0.3591143707
249	0.3588241023
250	0.3583631009
251	0.357864506
252	0.357587499
253	0.3573173594
254	0.3571137153
255	0.3567240029
256	0.3563865862
257	0.3561888778
258	0.3560370601
259	0.3555723893
260	0.3552083181
261	0.3547866607
262	0.3545998308
263	0.3544363426
264	0.3542387363
265	0.3538520982
266	0.3535668161
267	0.3534348568
268	0.3532541038
269	0.3528728929
270	0.3527181476
271	0.3525738748
272	0.3523975578
273	0.3522847454
274	0.352136024
275	0.3519951637
276	0.3517905085
277	0.3517458982
278	0.3514078457
279	0.351262038
280	0.350953088
281	0.3506539193
282	0.3505177077
283	0.3503224454
284	0.3499783454
285	0.3498646961
286	0.349589966
287	0.3492333869
288	0.3490335075
289	0.3488378478
290	0.3487335249
291	0.3482333339
292	0.3480666038
293	0.3478557484
294	0.3475353786
295	0.3471397157
296	0.3468838299
297	0.346660594
298	0.3462529462
299	0.3459767167
300	0.345872221
301	0.3455419405
302	0.3454773483
303	0.3452751678
304	0.3452315711
305	0.3450149814
306	0.3448622019
307	0.3445464856
308	0.3444774678
309	0.3443405925
310	0.3441549707
311	0.3440681934
312	0.3438009252
313	0.343460706
314	0.3431058862
315	0.3426603033
316	0.3425139779
317	0.3424699832
318	0.3422182095
319	0.3420998305
320	0.3419418506
321	0.3417992919
322	0.3415997799
323	0.3414201963
324	0.3413607104
325	0.3410397926
326	0.3409115977
327	0.3408125421
328	0.3405786912
329	0.3403186905
330	0.3402214972
331	0.3397627985
332	0.3395922494
333	0.3394781938
334	0.3393809591
335	0.3393114535
336	0.3392503781
337	0.3391998724
338	0.3390240054
339	0.3387890609
340	0.3384831612
341	0.33825831
342	0.3381882678
343	0.3379952766
344	0.3376841216
345	0.3375611705
346	0.337486645
347	0.3372396574
348	0.3370304575
349	0.3368495482
350	0.3367622708
351	0.3366500102
352	0.3365237136
353	0.3361394614
354	0.3360540715
355	0.3359388384
356	0.3358606596
357	0.3355203224
358	0.3353829828
359	0.3352947422
360	0.3352165793
361	0.3348998369
362	0.3346328081
363	0.3345292292
364	0.3343730033
365	0.3342124186
366	0.3339625329
367	0.3338241948
368	0.3337141889
369	0.333627594
370	0.3333812084
371	0.3332859077
372	0.3332492913
373	0.3331666718
374	0.3329778083
375	0.3329415046
376	0.3326579892
377	0.3324996995
378	0.3322088007
379	0.3321048012
380	0.3320288354
381	0.3318372619
382	0.331670615
383	0.3314904055
384	0.3314428709
385	0.3312705007
386	0.331175001
387	0.330841774
388	0.3307800008
389	0.3305663759
390	0.3303670896
391	0.3303077332
392	0.3298656091
393	0.3294951956
394	0.3293483609
395	0.3291693821
396	0.3288587689
397	0.3286509897
398	0.3284467374
399	0.3283754627
400	0.3279975074
401	0.3278396739
402	0.3275003683
403	0.3274469688
404	0.3274190202
405	0.327083402
406	0.3269354354
407	0.3267800842
408	0.3266852084
409	0.3264827731
410	0.3262109644
411	0.3261469966
412	0.3260841023
413	0.3257726604
414	0.325696256
415	0.3255375267
416	0.3254360901
417	0.3250862348
418	0.3250242858
419	0.3249505217
420	0.3247097444
421	0.3244918044
422	0.324382988
423	0.3242421581
424	0.3240893463
425	0.323811142
426	0.3237438856
427	0.3236228799
428	0.3235914041
429	0.3235747428
430	0.3233748513
431	0.3233343069
432	0.3232946189
433	0.3232405123
434	0.3231954576
435	0.3230699237
436	0.3229773828
437	0.3229107167
438	0.3226965553
439	0.3225668925
440	0.3224878779
441	0.3222618177
442	0.3221786158
443	0.3220580103
444	0.3219334418
445	0.3217460473
446	0.3215715355
447	0.3212912502
448	0.3212323596
449	0.3211768402
450	0.3209142875
451	0.3208786277
452	0.3208583658
453	0.320793926
454	0.3207209009
455	0.320694649
456	0.3206712984
457	0.3206062874
458	0.3205812548
459	0.320485773
460	0.3204711106
461	0.3204557398
462	0.3201759813
463	0.3200269595
464	0.3198642228
465	0.3197265047
466	0.3196211325
467	0.3195284894
468	0.3194604185
469	0.319433241
470	0.3193296535
471	0.3191401191
472	0.3191244598
473	0.3191061314
474	0.3190314105
475	0.3190113556
476	0.3189304621
477	0.3187386182
478	0.3187097436
479	0.3185776713
480	0.3184998282
481	0.318369181
482	0.3182427185
483	0.3182277652
484	0.3181545763
485	0.318088463
486	0.3180768799
487	0.317985939
488	0.3179229069
489	0.3177338483
490	0.3176262492
491	0.317609513
492	0.3173440591
493	0.317330242
494	0.317035088
495	0.3169808418
496	0.3169067623
497	0.3168858447
498	0.316787453
499	0.3167321594
500	0.3167217076
501	0.316557146
502	0.3164131725
503	0.316403364
504	0.3163136023
505	0.3161508672
506	0.3159748266
507	0.3156988106
508	0.3155816419
509	0.3154644296
510	0.3154258075
511	0.3153134586
512	0.3152324745
513	0.3151800893
514	0.314886559
515	0.314814982
516	0.3147478133
517	0.3145468535
518	0.3145215031
519	0.3141913061
520	0.3141747922
521	0.3139377652
522	0.3136881417
523	0.3134969354
524	0.3134848526
525	0.3133747662
526	0.3133614217
527	0.3133521399
528	0.3132949827
529	0.3130189679
530	0.3129341605
531	0.3129257688
532	0.3128142518
533	0.3128010869
534	0.3127516405
535	0.3126482954
536	0.3124845427
537	0.3124566565
538	0.3124091296
539	0.3123901397
540	0.312362589
541	0.3122170125
542	0.3121182199
543	0.3120307831
544	0.3119607319
545	0.3118762236
546	0.311847173
547	0.3115769502
548	0.3115302853
549	0.3114694725
550	0.3112270613
551	0.3111729662
552	0.3110912367
553	0.310855212
554	0.3107045369
555	0.3105722888
556	0.310563167
557	0.3105337885
558	0.3104611953
559	0.3103636641
560	0.3103328949
561	0.3103094313
562	0.310285453
563	0.3102612036
564	0.3099660574
565	0.3099512953
566	0.3099190215
567	0.3098950644
568	0.309885499
569	0.3098418283
570	0.3097924746
571	0.3097800546
572	0.309678159
573	0.3096503927
574	0.3094731101
575	0.3094111857
576	0.3093071233
577	0.30929808
578	0.3092892809
579	0.3092618399
580	0.309253593
581	0.3092439949
582	0.3089640134
583	0.3089467693
584	0.308936492
585	0.3089185122
586	0.3087539541
587	0.3086905321
588	0.30858241
589	0.3084997492
590	0.3084191562
591	0.3082421852
592	0.3081160342
593	0.3077853255
594	0.3077767029
595	0.3077574789
596	0.307747498
597	0.3077259577
598	0.3074827174
599	0.3073293921
600	0.3071794486
601	0.3069464047
602	0.3069418418
603	0.3069200635
604	0.3067581948
605	0.3065834317
606	0.3065480777
607	0.3065222086
608	0.3063783764
609	0.3062669568
610	0.3061865687
611	0.3061282426
612	0.3058453699
613	0.3058260115
614	0.3058202349
615	0.3055747615
616	0.3054678421
617	0.3053120453
618	0.3053017499
619	0.3049968473
620	0.304826687
621	0.3045627116
622	0.3045094317
623	0.3044896094
624	0.3044407865
625	0.3042539952
626	0.3040087361
627	0.3039864073
628	0.3037700114
629	0.3034425777
630	0.3034039859
631	0.3033732583
632	0.3033281909
633	0.3032533217
634	0.3030024596
635	0.3029533707
636	0.3029482749
637	0.3029370192
638	0.3029320281
639	0.3029212578
640	0.3025953251
641	0.3024677135
642	0.3024064072
643	0.3023104496
644	0.3019236918
645	0.3016856121
646	0.3015372034
647	0.3014448893
648	0.3013914675
649	0.3011454228
650	0.300977408
651	0.3008506972
652	0.3008463989
653	0.3007397169
654	0.3007193286
655	0.3005309789
656	0.3003568845
657	0.300306449
658	0.3002631077
659	0.3001556351
660	0.3001443541
661	0.3000079018
662	0.300003565
663	0.299915316
664	0.2997729195
665	0.2997111681
666	0.2996498422
667	0.2994795401
668	0.299421861
669	0.2992724094
670	0.2991809924
671	0.2990665587
672	0.2989553953
673	0.2989192989
674	0.2987654808
675	0.2987416281
676	0.2987391775
677	0.2986421215
678	0.2984425022
679	0.2984367827
680	0.2981594771
681	0.2980527278
682	0.2979647423
683	0.2979533383
684	0.2978883113
685	0.2978366562
686	0.2976951099
687	0.2976902849
688	0.2976053876
689	0.2974102899
690	0.2971862405
691	0.2970161602
692	0.2969062526
693	0.2968858825
694	0.2968645728
695	0.2968593322
696	0.2968539978
697	0.2968034898
698	0.2966114866
699	0.2964273053
700	0.2963929951
701	0.2963778389
702	0.2961408898
703	0.2961314444
704	0.2959050956
705	0.2958985875
706	0.2958335662
707	0.2958307821
708	0.2958280921
709	0.2957023234
710	0.2956795154
711	0.2955427519
712	0.2955266769
713	0.2954235689
714	0.2953543746
715	0.2952614616
716	0.2949759104
717	0.2948470252
718	0.2947316919
719	0.2946549894
720	0.294651303
721	0.2944505321
722	0.2944301002
723	0.2944210459
724	0.2944175187
725	0.2943495478
726	0.294246406
727	0.2942180217
728	0.2940806462
729	0.2940503922
730	0.2940302843
731	0.2940162919
732	0.2939865456
733	0.293969993
734	0.2939442622
735	0.2938885293
736	0.2938764662
737	0.2938733657
738	0.2938112817
739	0.2938015448
740	0.2937955995
741	0.2937507423
742	0.2937488324
743	0.2936749217
744	0.2936621182
745	0.2936497748
746	0.2936342872
747	0.2936300595
748	0.2935873725
749	0.2934667039
750	0.2933248528
751	0.2933188437
752	0.2932295327
753	0.2932200479
754	0.2932017829
755	0.2929549717
756	0.2929382114
757	0.292921423
758	0.2929181358
759	0.2928967412
760	0.2928948122
761	0.2928921768
762	0.2928742174
763	0.2928703455
764	0.292718283
765	0.2926084608
766	0.292485892
767	0.292440657
768	0.2924165741
769	0.2922602594
770	0.2921768483
771	0.2920887547
772	0.2920485671
773	0.2920208004
774	0.2920141649
775	0.291947488
776	0.291714251
777	0.2915759005
778	0.2915540798
779	0.2913880174
780	0.2913786092
781	0.2912048363
782	0.2911923887
783	0.291119182
784	0.2911164622
785	0.2911116376
786	0.290932987
787	0.2908369377
788	0.2908232978
789	0.2908046908
790	0.2907507645
791	0.2907393787
792	0.2906451956
793	0.2906403632
794	0.2906300819
795	0.29052551
796	0.2904224622
797	0.2904114608
798	0.2903202961
799	0.2903146771
800	0.2902979562
801	0.2902950368
802	0.2902926794
803	0.2902781641
804	0.2901836531
805	0.2901820626
806	0.290172245
807	0.2901116319
808	0.2901093278
809	0.2899353157
810	0.2899233626
811	0.2897710855
812	0.2897386924
813	0.2896673023
814	0.2896648985
815	0.2896348015
816	0.289539201
817	0.2895306534
818	0.2894202678
819	0.2894183294
820	0.2893452238
821	0.2893432712
822	0.2893261091
823	0.2892955505
824	0.2892910531
825	0.2892706143
826	0.2892610822
827	0.289221616
828	0.2891780168
829	0.2891240211
830	0.2891020016
831	0.2890993592
832	0.289092753
833	0.2889635433
834	0.2888484228
835	0.2887326088
836	0.2887180151
837	0.2886978252
838	0.2885160941
839	0.2884112248
840	0.2884063824
841	0.2884041337
842	0.2883808175
843	0.2881483528
844	0.2880576598
845	0.2879978174
846	0.2878676877
847	0.2876763317
848	0.2876505497
849	0.2875537361
850	0.2874592152
851	0.2873641509
852	0.2872751909
853	0.2871385399
854	0.2870805294
855	0.2869041672
856	0.2868896607
857	0.2868879132
858	0.2868730731
859	0.2867964748
860	0.286775442
861	0.2866783745
862	0.2866412734
863	0.2866383584
864	0.2865843841
865	0.2865385784
866	0.2864499037
867	0.2863780689
868	0.2863753179
869	0.2862321766
870	0.28622442
871	0.2862151061
872	0.2861008267
873	0.2860949023
874	0.286003572
875	0.2859890338
876	0.2859745783
877	0.2859732148
878	0.2859711974
879	0.285896779
880	0.2857235991
881	0.2857206887
882	0.2856592703
883	0.2856560807
884	0.285653086
885	0.2854785597
886	0.2854226932
887	0.2853601371
888	0.2852562416
889	0.2850435911
890	0.2849838278
891	0.2848512597
892	0.2848240905
893	0.2847548358
894	0.2845787379
895	0.2845761793
896	0.2845742499
897	0.284533798
898	0.2845226808
899	0.2845164438
900	0.2843072844
901	0.2843048213
902	0.284126036
903	0.2840357256
904	0.2839375393
905	0.2839303925
906	0.2838612561
907	0.2837353715
908	0.2837328052
909	0.2835583739
910	0.2835562271
911	0.2835171316
912	0.283514802
913	0.2835034623
914	0.2835010203
915	0.2834355975
916	0.2833632793
917	0.2833506839
918	0.2833083299
919	0.2832650987
920	0.2832006189
921	0.2830970553
922	0.2829552367
923	0.2828793638
924	0.2828553249
925	0.2828525538
926	0.2828501061
927	0.2828413001
928	0.2828009521
929	0.2827689848
930	0.2826050108
931	0.2825141579
932	0.2825130875
933	0.282467002
934	0.2821513279
935	0.2821455884
936	0.2819908044
937	0.2819162386
938	0.2817428857
939	0.2817123236
940	0.2816719834
941	0.2816386023
942	0.2815721674
943	0.281513547
944	0.281420843
945	0.2814184253
946	0.2814094331
947	0.2813678051
948	0.2812153096
949	0.2810350826
950	0.2809924221
951	0.2809684767
952	0.2809645115
953	0.2809596542
954	0.2809570768
955	0.2808734396
956	0.2808608175
957	0.2806791013
958	0.2806768332
959	0.2806750754
960	0.2806471474
961	0.2806381163
962	0.2804964304
963	0.280378912
964	0.2803764428
965	0.2803717597
966	0.2803312975
967	0.2803052374
968	0.2802605634
969	0.2801460281
970	0.2801041696
971	0.2800986865
972	0.2800969393
973	0.2800943398
974	0.2799957945
975	0.2799679693
976	0.2799495788
977	0.2799426429
978	0.2799313291
979	0.2798623706
980	0.2798506839
981	0.2798169718
982	0.279762293
983	0.2797271051
984	0.2796756666
985	0.2796360286
986	0.2795275288
987	0.2794740035
988	0.2793265992
989	0.2793227532
990	0.2792758705
991	0.279186756
992	0.2791418602
993	0.2790897008
994	0.2789917989
995	0.2789882336
996	0.2789867361
997	0.2788458948
998	0.2788410148
999	0.2786549687
