Name,Address,Price,Area,Configuration,Floor,Facing,Overlooking,Property Age,URL,Nearby Places,details
"Block C Sushant Lok Phase - 3, Gurgaon","Block C Sushant Lok Phase - 3, Gurgaon","₹ 3.35 Crore+ Govt Charges & Tax
@ 12,407 per sq.ft. (All inclusive, Negotiable) View Price Details","Super Built up area 2700
(250.84 sq.m.)
Built Up area: 2550 sq.ft. (236.9 sq.m.)
Carpet area: 2295 sq.ft. (213.21 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 2 Balconies with Pooja Room,Servant Room",2nd   of 4 Floors,North-East,"Main Road,Park/Garden",0 to 1 Year Old,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-block-c-sushant-lok-phase-3-gurgaon-2700-sq-ft-spid-Z80503801,['Hong Kong Bazaar Mall\nRadhakrishna Shani Mandir\nSanatan Dharm Mandir\nIcici bank ATM\nState bank ATM'],"{'Property Ownership': ':, Freehold', 'Flooring': ':, Marble', 'Furnishing': ':, Semifurnished', 'Width of facing road': ':, 32.8 Feet', 'Gated Community': ':, Yes', 'Parking': ':, 2 Covered, 1 Open', 'WheelChair Friendly': ':, Yes', 'Pet Friendly': ':, Yes', 'Water Source': ':, Municipal corporation,Borewell/Tank,24*7 Water', 'Power Backup': ':, Full', 'Property Code': ':, Z80503801'}"
"Sector 51, Gurgaon","Sector 51, Gurgaon","₹ 2.4 Crore
@ 13,071 per sq.ft. (All inclusive) View Price Details","Super Built up area 1836
(170.57 sq.m.)
Built Up area: 1790 sq.ft. (166.3 sq.m.)
Carpet area: 1450 sq.ft. (134.71 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies with Servant Room,Pooja Room",4th   of 4 Floors,North-West,"Main Road,Park/Garden",1 to 5 Year Old,https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-sector-51-gurgaon-1836-sq-ft-spid-L80133487,['Huda city centre metro station\nIffco chowk metro station\nStandard chartered ATM\nKotak mahindra bank ATM\nAxis bank ATM'],"{'Property Ownership': ':, Freehold', 'Flooring': ':, Marble', 'Furnishing': ':, Semifurnished', 'Width of facing road': ':, 39.4 Feet', 'Gated Community': ':, Yes', 'Parking': ':, 2 Covered, 1 Open', 'WheelChair Friendly': ':, Yes', 'Pet Friendly': ':, Yes', 'Water Source': ':, 24*7 Water', 'Power Backup': ':, Full', 'Property Code': ':, L80133487'}"
"Block E sector 56, Gurgaon","Block E sector 56, Gurgaon","₹ 3.15 Crore
@ 11,666 per sq.ft. (All inclusive) View Price Details","Super Built up area 2700
(250.84 sq.m.)
Built Up area: 2400 sq.ft. (222.97 sq.m.)
Carpet area: 2100 sq.ft. (195.1 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 2 Balconies with Pooja Room,Servant Room",2nd   of 4 Floors,East,"Park/Garden,Main Road,Sea facing",0 to 1 Year Old,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-block-e-sector-56-gurgaon-2700-sq-ft-spid-Z80393823,['Sector metro station\nSector metro station\nSector 54 chowk metro station\nHong Kong Bazaar Mall\nRadhakrishna Shani Mandir'],"{'Property Ownership': ':, Freehold', 'Flooring': ':, Marble', 'Furnishing': ':, Semifurnished', 'Width of facing road': ':, 39.4 Feet', 'Gated Community': ':, Yes', 'Corner Property': ':, Yes', 'Parking': ':, 2 Covered, 1 Open', 'WheelChair Friendly': ':, Yes', 'Pet Friendly': ':, Yes', 'Water Source': ':, 24*7 Water,Municipal corporation', 'Power Backup': ':, Full', 'Property Code': ':, Z80393823'}"
"Mayfield Garden, Gurgaon","Mayfield Garden, Gurgaon","₹ 2.75 Crore
@ 12,731 per sq.ft. (All inclusive) View Price Details","Super Built up area 2160
(200.67 sq.m.)
Built Up area: 2000 sq.ft. (185.81 sq.m.)
Carpet area: 1750 sq.ft. (162.58 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 2 Balconies with Study Room,Servant Room",3rd   of 4 Floors,South-West,"Main Road,Club,Park/Garden",1 to 5 Year Old,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-mayfield-garden-gurgaon-2160-sq-ft-r2-spid-Y73470265,['Huda city centre metro station\nIffco chowk metro station\nStandard chartered ATM\nKotak mahindra bank ATM\nAxis bank ATM'],"{'Property Ownership': ':, Freehold', 'Flooring': ':, Marble', 'Furnishing': ':, Semifurnished', 'Width of facing road': ':, 39.4 Feet', 'Gated Community': ':, Yes', 'Corner Property': ':, Yes', 'Parking': ':, 2 Covered, 1 Open', 'WheelChair Friendly': ':, Yes', 'Pet Friendly': ':, Yes', 'Water Source': ':, 24*7 Water', 'Power Backup': ':, Full', 'Property Code': ':, Y73470265'}"
Sushant Lok 1 Builder Floors,"Sushant Lok 1 Builder Floors
Sushant Lok Phase 1, Gurgaon","₹ 3.6 Crore
@ 17,142 per sq.ft. (All inclusive) View Price Details","Super Built up area 2700
(250.84 sq.m.)
Built Up area: 2500 sq.ft. (232.26 sq.m.)
Carpet area: 2100 sq.ft. (195.1 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 2 Balconies with Pooja Room,Study Room,Servant Room,Store Room",Ground of 4 Floors,South,"Pool,Park/Garden,Club,Main Road",1 to 5 Year Old,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-sushant-lok-1-builder-floors-sushant-lok-phase-1-gurgaon-2700-sq-ft-r4-spid-O66098976,['Huda city centre metro station\nSector 42-43 metro station\nNew Life Church\nHanuman Mandir\nHdfc ATM\nRbs ATM'],"{'Property Ownership': ':, Freehold', 'Flooring': ':, Marble', 'Furnishing': ':, Semifurnished', 'Width of facing road': ':, 45.9 Feet', 'Gated Community': ':, Yes', 'Corner Property': ':, Yes', 'Parking': ':, 2 Covered, 1 Open', 'WheelChair Friendly': ':, Yes', 'Pet Friendly': ':, Yes', 'Water Source': ':, 24*7 Water', 'Power Backup': ':, Full', 'Property Code': ':, O66098976'}"
"Sushant Lok 3 Extension, Gurgaon","Sushant Lok 3 Extension, Gurgaon","₹ 2.7 Crore
@ 12,500 per sq.ft. (All inclusive) View Price Details","Super Built up area 2160
(200.67 sq.m.)
Built Up area: 1800 sq.ft. (167.23 sq.m.)
Carpet area: 1620 sq.ft. (150.5 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies with Pooja Room,Servant Room",3rd   of 4 Floors,South,Park/Garden,1 to 5 Year Old,https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-sushant-lok-3-extension-gurgaon-2160-sq-ft-spid-F80139013,"[""HUDA Sector 23 Market\nPalam triangle\nPalam Vihar Vyapar kendra\nRam Mandir\nDR KAPOOR'S Dental Care and Implant Centre""]","{'Property Ownership': ':, Freehold', 'Flooring': ':, Marble', 'Furnishing': ':, Semifurnished', 'Width of facing road': ':, 39.4 Feet', 'Gated Community': ':, Yes', 'Parking': ':, 2 Covered, 1 Open', 'WheelChair Friendly': ':, Yes', 'Pet Friendly': ':, Yes', 'Water Source': ':, 24*7 Water', 'Power Backup': ':, Full', 'Property Code': ':, F80139013'}"
"G Block, Sushant Lok 3, Gurgaon","G Block, Sushant Lok 3, Gurgaon","₹ 2.8 Crore
@ 12,962 per sq.ft. (All inclusive) View Price Details","Super Built up area 2160
(200.67 sq.m.)
Built Up area: 1970 sq.ft. (183.02 sq.m.)
Carpet area: 1720 sq.ft. (159.79 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies with Pooja Room,Servant Room",1st   of 4 Floors,West,"Main Road,Park/Garden",1 to 5 Year Old,https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-g-block-sushant-lok-3-gurgaon-2160-sq-ft-spid-V80131777,"[""HUDA Sector 23 Market\nPalam triangle\nPalam Vihar Vyapar kendra\nRam Mandir\nDR KAPOOR'S Dental Care and Implant Centre""]","{'Property Ownership': ':, Freehold', 'Flooring': ':, Marble', 'Furnishing': ':, Semifurnished', 'Width of facing road': ':, 39.4 Feet', 'Gated Community': ':, Yes', 'Corner Property': ':, Yes', 'Parking': ':, 2 Covered, 1 Open', 'WheelChair Friendly': ':, Yes', 'Pet Friendly': ':, Yes', 'Water Source': ':, 24*7 Water,Municipal corporation', 'Power Backup': ':, Full', 'Property Code': ':, V80131777'}"
"Block C Sushant Lok Phase - 3, Gurgaon","Block C Sushant Lok Phase - 3, Gurgaon","₹ 2.65 Crore
@ 9,814 per sq.ft. (All inclusive) View Price Details","Super Built up area 2700
(250.84 sq.m.)
Built Up area: 2500 sq.ft. (232.26 sq.m.)
Carpet area: 2000 sq.ft. (185.81 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies with Servant Room,Pooja Room",1st   of 4 Floors,West,"Club,Park/Garden",1 to 5 Year Old,https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-block-c-sushant-lok-phase-3-gurgaon-2700-sq-ft-r1-spid-D72592657,['Rajiv Chowk Mosque\nHanuman Mandir\nIcici bank ATM\nHdfc bank ATM\nState bank of india ATM\nState bank of india ATM'],"{'Property Ownership': ':, Freehold', 'Flooring': ':, Marble', 'Furnishing': ':, Semifurnished', 'Width of facing road': ':, 45.9 Feet', 'Gated Community': ':, Yes', 'Corner Property': ':, Yes', 'Parking': ':, 2 Covered, 1 Open', 'WheelChair Friendly': ':, Yes', 'Pet Friendly': ':, Yes', 'Power Backup': ':, Full', 'Property Code': ':, D72592657'}"
"B Block Sushant Lok Phase 1, Gurgaon","B Block Sushant Lok Phase 1, Gurgaon","₹ 3.81 Crore
@ 14,111 per sq.ft. (All inclusive) View Price Details","Super Built up area 2700
(250.84 sq.m.)
Built Up area: 2400 sq.ft. (222.97 sq.m.)
Carpet area: 2100 sq.ft. (195.1 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 2 Balconies with Servant Room,Pooja Room",1st   of 4 Floors,South,"Park/Garden,Pool",1 to 5 Year Old,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-b-block-sushant-lok-phase-1-gurgaon-2700-sq-ft-spid-U80134159,"[""HUDA Sector 23 Market\nPalam triangle\nPalam Vihar Vyapar kendra\nRam Mandir\nDR KAPOOR'S Dental Care and Implant Centre""]","{'Property Ownership': ':, Freehold', 'Flooring': ':, Marble', 'Furnishing': ':, Semifurnished', 'Width of facing road': ':, 39.4 Feet', 'Gated Community': ':, Yes', 'Parking': ':, 1 Covered, 1 Open', 'WheelChair Friendly': ':, Yes', 'Pet Friendly': ':, Yes', 'Water Source': ':, 24*7 Water,Municipal corporation', 'Power Backup': ':, Full', 'Property Code': ':, U80134159'}"
"Sushant Lok Phase 1, Gurgaon","Sushant Lok Phase 1, Gurgaon","₹ 3.3 Crore
@ 17,054 per sq.ft. (All inclusive) View Price Details","Super Built up area 1935
(179.77 sq.m.)
Built Up area: 1700 sq.ft. (157.94 sq.m.)
Carpet area: 1520 sq.ft. (141.21 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies with Servant Room",2nd   of 4 Floors,South,"Club,Park/Garden",1 to 5 Year Old,https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-sushant-lok-phase-1-gurgaon-1935-sq-ft-r1-spid-U73884491,['Rajiv Chowk Mosque\nHanuman Mandir\nIcici bank ATM\nHdfc bank ATM\nState bank of india ATM\nState bank of india ATM'],"{'Property Ownership': ':, Freehold', 'Flooring': ':, Marble', 'Furnishing': ':, Semifurnished', 'Width of facing road': ':, 39.4 Feet', 'Gated Community': ':, Yes', 'Corner Property': ':, Yes', 'Parking': ':, 2 Covered', 'WheelChair Friendly': ':, Yes', 'Pet Friendly': ':, Yes', 'Water Source': ':, 24*7 Water', 'Power Backup': ':, Full', 'Property Code': ':, U73884491'}"
