Name,Address,Price,Area,Configuration,Floor,Facing,Overlooking,Property Age,URL,Nearby Places,details
"Vipul Lavanya
3.6","Vipul Lavanya
Sector 81, Gurgaon","₹ 1.05 Crore+ Govt Charges & Tax
@ 8,400 per sq.ft. (All inclusive, Negotiable) View Price Details","Super Built up area 1250
(116.13 sq.m.)
Carpet area: 796 sq.ft. (73.95 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies with Others",10th   of 14 Floors,East,"Pool,Park/Garden,Club,Others",5 to 10 Year Old    View Construction Status,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-vipul-lavanya-sector-81-gurgaon-1250-sq-ft-r2-spid-K80810329,['Millennium City Centre Gurugram\nTown Square 2\nManesar Road\nSh. S. N. Sidheshwar Sr. Sec. Public\nSinghania University'],"{'Transaction Type': ':, Resale', 'Property Ownership': ':, Freehold', 'Flooring': ':, Vitrified', 'Furnishing': ':, Semifurnished', 'Width of facing road': ':, 196.9 Feet', 'Gated Community': ':, Yes', 'Corner Property': ':, Yes', 'WheelChair Friendly': ':, Yes', 'Pet Friendly': ':, Yes', 'Water Source': ':, Municipal corporation,24*7 Water,Borewell/Tank', 'Power Backup': ':, Full', 'Property Code': ':, K80810329'}"
Sare Crescent Parc Royal Greens Phase 1,"Sare Crescent Parc Royal Greens Phase 1
Sector 92, Gurgaon","₹ 1.29 Crore+ Govt Charges & Tax
@ 8,781 per sq.ft. (All inclusive, Negotiable) View Price Details","Super Built up area 1469
(136.47 sq.m.)
Carpet area: 1100 sq.ft. (102.19 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies with Pooja Room,Study Room,Servant Room,Others",6th   of 7 Floors,North-East,"Pool,Park/Garden,Main Road,Others,Club,Sea facing",5 to 10 Year Old,https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-sare-crescent-parc-royal-greens-phase-1-sector-92-gurgaon-1469-sq-ft-r3-spid-O79362959,['Yadav Clinic\nBangali Clinic\nDr. J. S. Sarkar Clinic\nSagar Clinic\nVijay Petrol Pump\nHP Petrol Pump\nEssar Petrol Pump'],"{'Property Ownership': ':, Freehold', 'Flooring': ':, Vitrified', 'Furnishing': ':, Semifurnished', 'Width of facing road': ':, 196.9 Feet', 'Gated Community': ':, Yes', 'Corner Property': ':, Yes', 'Parking': ':, 1 Covered', 'Water Source': ':, Borewell/Tank,Municipal corporation,24*7 Water', 'Power Backup': ':, Full', 'Property Code': ':, O79362959'}"
"Orris Carnation Residency
3.8","Orris Carnation Residency
Sector 85, Gurgaon","₹ 1.05 Crore+ Govt Charges & Tax
@ 9,417 per sq.ft. (All inclusive, Negotiable) View Price Details","Super Built up area 1115
(103.59 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies with Others",11st   of 12 Floors,North,"Park/Garden,Main Road,Pool,Club",5 to 10 Year Old,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-orris-carnation-residency-sector-85-gurgaon-1115-sq-ft-r3-spid-L78898929,['Omaxe Celebration Mall within reach\nNearby Lotus Valley International School\nThe Shri Ram School Aravali\nClose to ARC Multi Specialty Hospital'],"{'Transaction Type': ':, Resale', 'Property Ownership': ':, Freehold', 'Flooring': ':, Vitrified', 'Width of facing road': ':, 196.9 Feet', 'Gated Community': ':, Yes', 'Corner Property': ':, Yes', 'Parking': ':, 1 Covered', 'WheelChair Friendly': ':, Yes', 'Pet Friendly': ':, Yes', 'Water Source': ':, Municipal corporation,Borewell/Tank,24*7 Water', 'Power Backup': ':, Full', 'Property Code': ':, L78898929'}"
Sare Homes,"Sare Homes
Sector 92, Gurgaon","₹ 1.48 Crore+ Govt Charges & Tax
@ 9,698 per sq.ft. (All inclusive, Negotiable) View Price Details","Carpet area: 1526
(141.77 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 3+ Balconies with Store Room",13rd   of 20 Floors,North,"Pool,Park/Garden,Club,Main Road",0 to 1 Year Old,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sare-homes-sector-92-gurgaon-1526-sq-ft-r3-spid-R78269557,['Yadav Clinic\nBangali Clinic\nDr. J. S. Sarkar Clinic\nSagar Clinic\nVijay Petrol Pump\nHP Petrol Pump\nEssar Petrol Pump'],"{'Transaction Type': ':, Resale', 'Property Ownership': ':, Freehold', 'Flooring': ':, Vitrified', 'Furnishing': ':, Unfurnished', 'Width of facing road': ':, 60.0 Feet', 'Gated Community': ':, Yes', 'Corner Property': ':, Yes', 'Parking': ':, 1 Covered', 'WheelChair Friendly': ':, Yes', 'Pet Friendly': ':, Yes', 'Water Source': ':, Municipal corporation,Borewell/Tank,24*7 Water', 'Power Backup': ':, Full', 'Property Code': ':, R78269557'}"
"Vipul Lavanya
3.6","Vipul Lavanya
Sector 81, Gurgaon","₹ 1.4 Crore+ Govt Charges & Tax
@ 8,974 per sq.ft. (All inclusive, Negotiable) View Price Details","Super Built up area 1560
(144.93 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 3 Balconies with Store Room",12nd   of 14 Floors,North,Pool,5 to 10 Year Old    View Construction Status,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-vipul-lavanya-sector-81-gurgaon-1560-sq-ft-r2-spid-S80809531,['Millennium City Centre Gurugram\nTown Square 2\nManesar Road\nSh. S. N. Sidheshwar Sr. Sec. Public\nSinghania University'],"{'Transaction Type': ':, Resale', 'Property Ownership': ':, Freehold', 'Flooring': ':, Vitrified', 'Furnishing': ':, Semifurnished', 'Width of facing road': ':, 196.9 Feet', 'Gated Community': ':, Yes', 'Corner Property': ':, Yes', 'Parking': ':, 1 Covered', 'WheelChair Friendly': ':, Yes', 'Pet Friendly': ':, Yes', 'Water Source': ':, Municipal corporation,Borewell/Tank,24*7 Water', 'Power Backup': ':, Full', 'Property Code': ':, S80809531'}"
Sare Sports Parc,"Sare Sports Parc
Sector 92, Gurgaon","₹ 1.95 Crore+ Govt Charges & Tax
@ 9,316 per sq.ft. (All inclusive, Negotiable) View Price Details","Super Built up area 2093
(194.45 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 3 Balconies with Servant Room",1st   of 18 Floors,North-East,"Pool,Park/Garden,Others,Main Road,Club,Sea facing",1 to 5 Year Old    View Construction Status,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-sare-sports-parc-sector-92-gurgaon-2093-sq-ft-r3-spid-R79365161,"['Reliance Trends Newtown Square Mall\nDwarka Expy, Gurugram\nPranavananda International School\nSGT UNIVERSITY']","{'Transaction Type': ':, Resale', 'Property Ownership': ':, Freehold', 'Flooring': ':, Vitrified', 'Furnishing': ':, Unfurnished', 'Width of facing road': ':, 196.9 Feet', 'Gated Community': ':, Yes', 'Corner Property': ':, Yes', 'Parking': ':, 1 Covered', 'WheelChair Friendly': ':, Yes', 'Pet Friendly': ':, Yes', 'Water Source': ':, Municipal corporation,Borewell/Tank,24*7 Water', 'Power Backup': ':, Full', 'Property Code': ':, R79365161'}"
Sare Homes,"Sare Homes
Sector 92, Gurgaon","₹ 1.4 Crore+ Govt Charges & Tax
@ 10,558 per sq.ft. (All inclusive, Negotiable) View Price Details","Carpet area: 1326
(123.19 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies with Pooja Room",6th   of 20 Floors,North,Park/Garden,0 to 1 Year Old,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sare-homes-sector-92-gurgaon-1326-sq-ft-r3-spid-U78268611,['Yadav Clinic\nBangali Clinic\nDr. J. S. Sarkar Clinic\nSagar Clinic\nVijay Petrol Pump\nHP Petrol Pump\nEssar Petrol Pump'],"{'Transaction Type': ':, Resale', 'Property Ownership': ':, Freehold', 'Flooring': ':, Vitrified', 'Furnishing': ':, Unfurnished', 'Width of facing road': ':, 60.0 Feet', 'Gated Community': ':, Yes', 'Corner Property': ':, Yes', 'Parking': ':, 1 Covered', 'WheelChair Friendly': ':, Yes', 'Pet Friendly': ':, Yes', 'Water Source': ':, Municipal corporation,Borewell/Tank,24*7 Water', 'Power Backup': ':, Full', 'Property Code': ':, U78268611'}"
Sare Green ParC 4,"Sare Green ParC 4
Sector 92, Gurgaon","₹ 1.9 Crore+ Govt Charges & Tax
@ 8,535 per sq.ft. (All inclusive, Negotiable) View Price Details","Super Built up area 2226
(206.8 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 2 Balconies with Servant Room",4th   of 18 Floors,North-East,"Pool,Park/Garden,Club,Main Road,Sea facing,Others",1 to 5 Year Old,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-sare-green-parc-4-sector-92-gurgaon-2226-sq-ft-r3-spid-V79365523,['Yadav Clinic\nBangali Clinic\nDr. J. S. Sarkar Clinic\nSagar Clinic\nVijay Petrol Pump\nHP Petrol Pump'],"{'Transaction Type': ':, Resale', 'Property Ownership': ':, Freehold', 'Flooring': ':, Vitrified', 'Furnishing': ':, Unfurnished', 'Width of facing road': ':, 196.9 Feet', 'Gated Community': ':, Yes', 'Corner Property': ':, Yes', 'Parking': ':, 2 Covered', 'Water Source': ':, 24*7 Water,Municipal corporation,Borewell/Tank', 'Power Backup': ':, Full', 'Property Code': ':, V79365523'}"
,"KLJ Square
Sector 83, Gurgaon","₹ 69.5 Lac
@ 23,166 per sq.ft.","Carpet area: 300
(27.87 sq.m.)  
sq.ft.","1 Room, 1 Bathroom, No Balcony",2nd   of 7 Floors,,,0 to 1 Year Old,https://www.99acres.com/studio-apartment-flat-for-sale-in-klj-square-sector-83-gurgaon-300-sq-ft-spid-D83624232,['S.R.S. Hospital and Critical Care Unit\nOrris Community Center\nPetrol Pump Indian Oil\nPetrol Pump Indian Oil\nPetrol Pump'],"{'Transaction Type': ':, Resale', 'Furnishing': ':, Unfurnished', 'Power Backup': ':, None', 'Property Code': ':, D83624232'}"
"Antriksh Heights
3.8","Antriksh Heights
Sector 84, Gurgaon","₹ 90 Lac+ Govt Charges & Tax
@ 7,083 per sq.ft. (All inclusive, Negotiable) View Price Details","Super Built up area 1200
(111.48 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 3 Balconies with Others",9th   of 19 Floors,North,"Pool,Park/Garden,Main Road",5 to 10 Year Old,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-antriksh-heights-sector-84-gurgaon-1200-sq-ft-r3-spid-V79363689,['Millennium City\nSapphire 83\nNH 48\nDelhi Public School\nDhamma Dipa International\nAarvy Healthcare hospital'],"{'Transaction Type': ':, Resale', 'Property Ownership': ':, Freehold', 'Flooring': ':, Vitrified', 'Furnishing': ':, Semifurnished', 'Width of facing road': ':, 196.9 Feet', 'Gated Community': ':, Yes', 'Corner Property': ':, Yes', 'Parking': ':, 1 Covered', 'WheelChair Friendly': ':, Yes', 'Pet Friendly': ':, Yes', 'Water Source': ':, Municipal corporation,Borewell/Tank,24*7 Water', 'Power Backup': ':, Full', 'Property Code': ':, V79363689'}"
"TARC Maceo
4.0","TARC Maceo
Sector 91, Gurgaon","₹ 1.45 Crore+ Govt Charges & Tax
@ 11,068 per sq.ft. (All inclusive, Negotiable) View Price Details","Super Built up area 1310
(121.7 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 3 Balconies with Pooja Room",12nd   of 13 Floors,North,"Main Road,Club,Park/Garden,Pool",1 to 5 Year Old,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-tarc-maceo-sector-91-gurgaon-1310-sq-ft-r5-spid-V77413555,['Manish Gallexie 91\nDwarka Expressway\nRao Bharat Singh International School\nDronacharya College of Engineering'],"{'Transaction Type': ':, Resale', 'Property Ownership': ':, Freehold', 'Flooring': ':, Vitrified', 'Furnishing': ':, Furnished', 'Width of facing road': ':, 60.0 Feet', 'Gated Community': ':, Yes', 'Corner Property': ':, Yes', 'Parking': ':, 2 Open', 'WheelChair Friendly': ':, Yes', 'Pet Friendly': ':, Yes', 'Water Source': ':, Municipal corporation,Borewell/Tank,24*7 Water', 'Power Backup': ':, Full', 'Property Code': ':, V77413555'}"
"Spaze Privy AT4
3.7","Spaze Privy AT4
Sector 84, Gurgaon","₹ 2.2 Crore+ Govt Charges & Tax
@ 9,670 per sq.ft. (All inclusive, Negotiable) View Price Details","Super Built up area 2275
(211.35 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 3+ Balconies with Servant Room",12nd   of 21 Floors,North,"Pool,Club,Park/Garden",5 to 10 Year Old,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-spaze-privy-at4-sector-84-gurgaon-2275-sq-ft-r5-spid-W77237611,"['Sapphire 83 Mall\nDwarka Expressway\nDelhi Public School, Sector 84\nDPG Institute of Technology\nGenesis Hospital Sector 84']","{'Transaction Type': ':, Resale', 'Property Ownership': ':, Freehold', 'Flooring': ':, Vitrified', 'Furnishing': ':, Semifurnished', 'Gated Community': ':, Yes', 'Corner Property': ':, Yes', 'Parking': ':, 1 Covered', 'WheelChair Friendly': ':, Yes', 'Pet Friendly': ':, Yes', 'Water Source': ':, Municipal corporation,Borewell/Tank,24*7 Water', 'Power Backup': ':, Full', 'Property Code': ':, W77237611'}"
DLF Express Greens,"DLF Express Greens
Sector 1A IMT Manesar, Gurgaon","₹ 1.8 Crore+ Govt Charges & Tax
@ 8,071 per sq.ft. (All inclusive) View Price Details","Super Built up area 2230
(207.17 sq.m.)
Carpet area: 1950 sq.ft. (181.16 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 3 Balconies with Servant Room",18th   of 20 Floors,East,Club,1 to 5 Year Old,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-dlf-express-greens-sector-1a-imt-manesar-gurgaon-2230-sq-ft-r1-spid-K82200502,['Pooja Clinic\nDr. Sahil Clinic\nYadav Dental & Eye Care\nPrakash Hospital\nShri Rade Clinic\nPetrol pump Maitri motors'],"{'Transaction Type': ':, Resale', 'Property Ownership': ':, Freehold', 'Flooring': ':, Vitrified', 'Furnishing': ':, Unfurnished', 'Gated Community': ':, Yes', 'Corner Property': ':, Yes', 'Parking': ':, 1 Covered, 1 Open', 'WheelChair Friendly': ':, Yes', 'Pet Friendly': ':, Yes', 'Water Source': ':, 24*7 Water', 'Power Backup': ':, Full', 'Property Code': ':, K82200502'}"
"SS The Coralwood
3.5","SS The Coralwood
Sector 84, Gurgaon","₹ 1.81 Crore+ Govt Charges & Tax
@ 10,342 per sq.ft. (All inclusive, Negotiable) View Price Details","Super Built up area 1750
(162.58 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 3+ Balconies with Others",7th   of 21 Floors,North-East,"Pool,Club",5 to 10 Year Old,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ss-the-coralwood-sector-84-gurgaon-1750-sq-ft-r3-spid-X79368891,"['Sapphire 83 Mall\nSector 84 Road\nDwarka Expy\nDelhi Public School, Sector 84\nDPG Degree College\nAarvy Hospital']","{'Transaction Type': ':, Resale', 'Property Ownership': ':, Freehold', 'Flooring': ':, Vitrified', 'Furnishing': ':, Semifurnished', 'Width of facing road': ':, 196.9 Feet', 'Gated Community': ':, Yes', 'Corner Property': ':, Yes', 'Parking': ':, 1 Covered', 'WheelChair Friendly': ':, Yes', 'Pet Friendly': ':, Yes', 'Water Source': ':, Municipal corporation,Borewell/Tank,24*7 Water', 'Power Backup': ':, Full', 'Property Code': ':, X79368891'}"
"Antriksh Heights
3.8","Antriksh Heights
Sector 84, Gurgaon","₹ 1.5 Crore+ Govt Charges & Tax
@ 7,407 per sq.ft. (All inclusive, Negotiable) View Price Details","Super Built up area 2025
(188.13 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 3+ Balconies with Servant Room",7th   of 19 Floors,North,"Park/Garden,Main Road",5 to 10 Year Old,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-antriksh-heights-sector-84-gurgaon-2025-sq-ft-r3-spid-Y79365199,['Millennium City\nSapphire 83\nNH 48\nDelhi Public School\nDhamma Dipa International\nAarvy Healthcare hospital'],"{'Transaction Type': ':, Resale', 'Property Ownership': ':, Freehold', 'Flooring': ':, Vitrified', 'Furnishing': ':, Semifurnished', 'Width of facing road': ':, 196.9 Feet', 'Gated Community': ':, Yes', 'Corner Property': ':, Yes', 'Parking': ':, 1 Covered', 'WheelChair Friendly': ':, Yes', 'Pet Friendly': ':, Yes', 'Water Source': ':, Municipal corporation,Borewell/Tank,24*7 Water', 'Power Backup': ':, Full', 'Property Code': ':, Y79365199'}"
"M3M Heights
3.8","M3M Heights
Sector 65, Gurgaon","₹ 2.46 Crore
@ 19,500 per sq.ft. (All inclusive) View Price Details","Super Built up area 1261
(117.15 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 3 Balconies with Study Room",7th   of 34 Floors,East,Main Road,0 to 1 Year Old    View Construction Status,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-m3m-heights-sector-65-gurgaon-1261-sq-ft-spid-J83569720,['Rapid Metro Sector 56\nM3m 65th Avenue Mall\nGolf Course Extension Road\nGurgaon - Delhi Expy\nDPS International School'],"{'Transaction Type': ':, Resale', 'Property Ownership': ':, Freehold', 'Flooring': ':, Wood', 'Furnishing': ':, Semifurnished', 'Width of facing road': ':, 196.9 Feet', 'Gated Community': ':, Yes', 'Parking': ':, 1 Covered', 'Water Source': ':, 24*7 Water', 'Power Backup': ':, Full', 'Property Code': ':, J83569720'}"
"M3M Heights
3.8","M3M Heights
Sector 65, Gurgaon","₹ 3.47 Crore
@ 19,000 per sq.ft. (All inclusive) View Price Details","Super Built up area 1828
(169.83 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 3 Balconies with Study Room",6th   of 34 Floors,East,"Park/Garden,Sea facing",0 to 1 Year Old    View Construction Status,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-m3m-heights-sector-65-gurgaon-1828-sq-ft-spid-B83569686,['Rapid Metro Sector 56\nM3m 65th Avenue Mall\nGolf Course Extension Road\nGurgaon - Delhi Expy\nDPS International School'],"{'Transaction Type': ':, Resale', 'Property Ownership': ':, Freehold', 'Flooring': ':, Wood', 'Furnishing': ':, Semifurnished', 'Gated Community': ':, Yes', 'Parking': ':, 1 Covered', 'Water Source': ':, 24*7 Water', 'Power Backup': ':, Full', 'Property Code': ':, B83569686'}"
"M3M Heights
3.8","M3M Heights
Sector 65, Gurgaon","₹ 2.61 Crore
@ 18,000 per sq.ft. (All inclusive) View Price Details","Super Built up area 1450
(134.71 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 3 Balconies with Study Room",8th   of 34 Floors,East,"Main Road,Sea facing",0 to 1 Year Old    View Construction Status,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-m3m-heights-sector-65-gurgaon-1450-sq-ft-spid-M83566756,['Rapid Metro Sector 56\nM3m 65th Avenue Mall\nGolf Course Extension Road\nGurgaon - Delhi Expy\nDPS International School'],"{'Transaction Type': ':, Resale', 'Property Ownership': ':, Freehold', 'Flooring': ':, Wood', 'Furnishing': ':, Semifurnished', 'Gated Community': ':, Yes', 'Parking': ':, 1 Covered', 'Water Source': ':, 24*7 Water', 'Power Backup': ':, Full', 'Property Code': ':, M83566756'}"
"M3M Heights
3.8","M3M Heights
Sector 65, Gurgaon","₹ 3.55 Crore
@ 18,399 per sq.ft. (All inclusive) View Price Details","Super Built up area 1932
(179.49 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies with Servant Room",30th   of 48 Floors,East,"Main Road,Sea facing",0 to 1 Year Old    View Construction Status,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-m3m-heights-sector-65-gurgaon-1932-sq-ft-spid-X83566392,['Rapid Metro Sector 56\nM3m 65th Avenue Mall\nGolf Course Extension Road\nGurgaon - Delhi Expy\nDPS International School'],"{'Transaction Type': ':, Resale', 'Property Ownership': ':, Freehold', 'Flooring': ':, Wood', 'Furnishing': ':, Semifurnished', 'Gated Community': ':, Yes', 'Parking': ':, 1 Covered', 'Water Source': ':, 24*7 Water', 'Power Backup': ':, Full', 'Property Code': ':, X83566392'}"
"Emaar Imperial Gardens
3.8","Emaar Imperial Gardens
Sector 102, Gurgaon","₹ 2.47 Crore+ Govt Charges & Tax
@ 12,197 per sq.ft. (All inclusive, Negotiable) View Price Details","Super Built up area 2025
(188.13 sq.m.)
Carpet area: 1255.73 sq.ft. (116.66 sq.m.)  
sq.ft.","3 Bedrooms , 4 Bathrooms, 1 Balcony with Servant Room",10th   of 18 Floors,East,"Pool,Park/Garden,Club,Main Road",1 to 5 Year Old    View Construction Status,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-emaar-imperial-gardens-sector-102-gurgaon-2025-sq-ft-spid-U83550864,['Satya The Hive Mall\nGurugram Road\nDwarka Expy\nGurugram Global Heights School\nSunrise University\nThe Signature Super Speciality Hospital'],"{'Transaction Type': ':, Resale', 'Property Ownership': ':, Freehold', 'Flooring': ':, Vitrified', 'Furnishing': ':, Semifurnished', 'Width of facing road': ':, 246.1 Feet', 'Gated Community': ':, Yes', 'Corner Property': ':, Yes', 'Parking': ':, 1 Covered, 1 Open', 'WheelChair Friendly': ':, Yes', 'Pet Friendly': ':, Yes', 'Water Source': ':, Municipal corporation,Borewell/Tank,24*7 Water', 'Power Backup': ':, Full', 'Property Code': ':, U83550864'}"
"Conscient Heritage Max
4.2","Conscient Heritage Max
Sector 102, Gurgaon","₹ 2.66 Crore
@ 13,697 per sq.ft. (All inclusive) View Price Details","Super Built up area 1942
(180.42 sq.m.)  
sq.ft.","3 Bedrooms , 4 Bathrooms, 3 Balconies with Servant Room",20th   of 25 Floors,North-East,"Pool,Club,Main Road,Others",1 to 5 Year Old,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-conscient-heritage-max-sector-102-gurgaon-1942-sq-ft-spid-F83464162,['Millennium City Centre Metro Station\nThe Esplanade Mall\nDwarka Expressway\nDelhi Public School\nSgt University'],"{'Transaction Type': ':, Resale', 'Property Ownership': ':, Freehold', 'Flooring': ':, Wood', 'Furnishing': ':, Semifurnished', 'Width of facing road': ':, 60.0 Feet', 'Gated Community': ':, Yes', 'Corner Property': ':, Yes', 'Parking': ':, 1 Covered', 'WheelChair Friendly': ':, Yes', 'Pet Friendly': ':, Yes', 'Water Source': ':, Municipal corporation,24*7 Water', 'Power Backup': ':, Full', 'Property Code': ':, F83464162'}"
"Conscient Heritage Max
4.2","Conscient Heritage Max
Sector 102, Gurgaon","₹ 2.6 Crore
@ 13,437 per sq.ft. (All inclusive) View Price Details","Super Built up area 1936
(179.86 sq.m.)  
sq.ft.","3 Bedrooms , 4 Bathrooms, 3 Balconies with Servant Room",20th   of 25 Floors,North-East,"Pool,Park/Garden,Club,Main Road,Others",1 to 5 Year Old,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-conscient-heritage-max-sector-102-gurgaon-1936-sq-ft-spid-G83452850,['Millennium City Centre Metro Station\nThe Esplanade Mall\nDwarka Expressway\nDelhi Public School\nSgt University'],"{'Transaction Type': ':, Resale', 'Property Ownership': ':, Freehold', 'Flooring': ':, Wood', 'Furnishing': ':, Semifurnished', 'Width of facing road': ':, 60.0 Feet', 'Gated Community': ':, Yes', 'Corner Property': ':, Yes', 'Parking': ':, 1 Covered', 'WheelChair Friendly': ':, Yes', 'Pet Friendly': ':, Yes', 'Water Source': ':, 24*7 Water,Municipal corporation', 'Power Backup': ':, Full', 'Property Code': ':, G83452850'}"
"Conscient Heritage Max
4.2","Conscient Heritage Max
Sector 102, Gurgaon","₹ 2.62 Crore
@ 13,468 per sq.ft. (All inclusive) View Price Details","Super Built up area 1942
(180.42 sq.m.)  
sq.ft.","3 Bedrooms , 4 Bathrooms, 3 Balconies with Servant Room",2nd   of 25 Floors,North-East,"Pool,Park/Garden,Club,Main Road",1 to 5 Year Old,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-conscient-heritage-max-sector-102-gurgaon-1942-sq-ft-spid-Y83452488,['Millennium City Centre Metro Station\nThe Esplanade Mall\nDwarka Expressway\nDelhi Public School\nSgt University'],"{'Transaction Type': ':, Resale', 'Property Ownership': ':, Freehold', 'Flooring': ':, Wood', 'Furnishing': ':, Semifurnished', 'Width of facing road': ':, 60.0 Feet', 'Gated Community': ':, Yes', 'Corner Property': ':, Yes', 'Parking': ':, 1 Covered', 'WheelChair Friendly': ':, Yes', 'Pet Friendly': ':, Yes', 'Water Source': ':, Municipal corporation,24*7 Water', 'Power Backup': ':, Full', 'Property Code': ':, Y83452488'}"
"Conscient Heritage Max
4.2","Conscient Heritage Max
Sector 102, Gurgaon","₹ 2.65 Crore
@ 13,645 per sq.ft. (All inclusive) View Price Details","Super Built up area 1942
(180.42 sq.m.)  
sq.ft.","3 Bedrooms , 4 Bathrooms, 3 Balconies with Servant Room",14th   of 25 Floors,North-East,"Pool,Park/Garden,Club,Main Road,Others",1 to 5 Year Old,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-conscient-heritage-max-sector-102-gurgaon-1942-sq-ft-spid-C83451902,['Millennium City Centre Metro Station\nThe Esplanade Mall\nDwarka Expressway\nDelhi Public School\nSgt University'],"{'Transaction Type': ':, Resale', 'Property Ownership': ':, Freehold', 'Flooring': ':, Wood', 'Furnishing': ':, Semifurnished', 'Width of facing road': ':, 60.0 Feet', 'Gated Community': ':, Yes', 'Corner Property': ':, Yes', 'Parking': ':, 1 Covered', 'WheelChair Friendly': ':, Yes', 'Pet Friendly': ':, Yes', 'Water Source': ':, Municipal corporation,24*7 Water', 'Power Backup': ':, Full', 'Property Code': ':, C83451902'}"
"M3M Heights
3.8","M3M Heights
Sector 65, Gurgaon","₹ 3.56 Crore+ Govt Charges & Tax
@ 23,766 per sq.ft. (All inclusive, Negotiable) View Price Details","Super Built up area 1828
(169.83 sq.m.)
Built Up area: 1800 sq.ft. (167.23 sq.m.)
Carpet area: 1500 sq.ft. (139.35 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 3+ Balconies with Others,Servant Room
View Floor Plan",5th   of 34 Floors,North,"Pool,Park/Garden,Club,Others,Main Road",0 to 1 Year Old    View Construction Status,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-m3m-heights-sector-65-gurgaon-1828-sq-ft-spid-L83412974,['Rapid Metro Sector 56\nM3m 65th Avenue Mall\nGolf Course Extension Road\nGurgaon - Delhi Expy\nDPS International School'],"{'Transaction Type': ':, Resale', 'Property Ownership': ':, Freehold', 'Furnishing': ':, Semifurnished', 'Width of facing road': ':, 78.7 Feet', 'Gated Community': ':, Yes', 'Corner Property': ':, Yes', 'Parking': ':, 1 Covered, 1 Open', 'WheelChair Friendly': ':, Yes', 'Pet Friendly': ':, Yes', 'Water Source': ':, Municipal corporation,24*7 Water,Borewell/Tank', 'Power Backup': ':, Full', 'Property Code': ':, L83412974'}"
